date,fund,return
2023-02-13,Equity Equal Weight,0.00875099
2023-02-14,Equity Equal Weight,-0.00064393
2023-02-15,Equity Equal Weight,0.00028921
2023-02-16,Equity Equal Weight,-0.01393945
2023-02-17,Equity Equal Weight,-0.00277214
2023-02-21,Equity Equal Weight,-0.01750278
2023-02-22,Equity Equal Weight,-0.00555126
2023-02-23,Equity Equal Weight,0.00547897
2023-02-24,Equity Equal Weight,-0.00947722
2023-02-27,Equity Equal Weight,0.00177611
2023-02-28,Equity Equal Weight,-0.00429293
2023-03-01,Equity Equal Weight,-0.00105803
2023-03-02,Equity Equal Weight,0.01196363
2023-03-03,Equity Equal Weight,0.0130417
2023-03-06,Equity Equal Weight,-0.00180866
2023-03-07,Equity Equal Weight,-0.01716609
2023-03-08,Equity Equal Weight,0.00319173
2023-03-09,Equity Equal Weight,-0.01731872
2023-03-10,Equity Equal Weight,-0.01304227
2023-03-13,Equity Equal Weight,-0.00351602
2023-03-14,Equity Equal Weight,0.0145455
2023-03-15,Equity Equal Weight,-0.00968814
2023-03-16,Equity Equal Weight,0.01420065
2023-03-17,Equity Equal Weight,-0.01224101
2023-03-20,Equity Equal Weight,0.01138166
2023-03-21,Equity Equal Weight,0.00835235
2023-03-22,Equity Equal Weight,-0.01994875
2023-03-23,Equity Equal Weight,0.00178779
2023-03-24,Equity Equal Weight,0.00763121
2023-03-27,Equity Equal Weight,0.00429734
2023-03-28,Equity Equal Weight,0.00159949
2023-03-29,Equity Equal Weight,0.01557047
2023-03-30,Equity Equal Weight,0.00490929
2023-03-31,Equity Equal Weight,0.01245554
2023-04-03,Equity Equal Weight,0.00694001
2023-04-04,Equity Equal Weight,-0.00506409
2023-04-05,Equity Equal Weight,0.00370007
2023-04-06,Equity Equal Weight,-0.00016102
2023-04-10,Equity Equal Weight,0.00351425
2023-04-11,Equity Equal Weight,0.00256921
2023-04-12,Equity Equal Weight,-0.00222193
2023-04-13,Equity Equal Weight,0.0069729
2023-04-14,Equity Equal Weight,-0.0057969
2023-04-17,Equity Equal Weight,0.00501314
2023-04-18,Equity Equal Weight,0.00031857
2023-04-19,Equity Equal Weight,0.00215019
2023-04-20,Equity Equal Weight,-0.00696327
2023-04-21,Equity Equal Weight,-0.0010172
2023-04-24,Equity Equal Weight,0.00175709
2023-04-25,Equity Equal Weight,-0.01495421
2023-04-26,Equity Equal Weight,-0.01247682
2023-04-27,Equity Equal Weight,0.01466191
2023-04-28,Equity Equal Weight,0.00948224
2023-05-01,Equity Equal Weight,-0.00342257
2023-05-02,Equity Equal Weight,-0.01668205
2023-05-03,Equity Equal Weight,-0.0122175
2023-05-04,Equity Equal Weight,-0.00535129
2023-05-05,Equity Equal Weight,0.01751525
