trade_date,ticker,sector,sentiment,n_headlines
2022-02-07,MS,Financials,0.16114,5
2022-02-07,NEE,Utilities,0.2202,2
2022-02-07,NKE,Consumer,0.04817272727272728,11
2022-02-07,NUE,Materials,0.3182,1
2022-02-07,NVDA,Tech,0.037028571428571425,14
2022-02-07,O,RealEstate,0.49305,2
2022-02-07,OXY,Energy,0.148,2
2022-02-07,PSA,RealEstate,0.0,1
2022-02-07,QCOM,Tech,0.024499999999999977,3
2022-02-07,SBUX,Consumer,0.2209,3
2022-02-07,SLB,Energy,0.1366,2
2022-02-07,SO,Utilities,0.0,3
2022-02-07,T,Comm,0.35756,5
2022-02-07,TMUS,Comm,0.43409999999999993,3
2022-02-07,TTWO,Comm,0.30623999999999996,10
2022-02-07,UPS,Industrials,0.21954285714285712,7
2022-02-07,V,Financials,0.0,3
2022-02-07,WFC,Financials,0.04819999999999999,2
2022-02-07,WMT,Consumer,0.23986666666666667,6
2022-02-07,XOM,Energy,0.08706666666666668,9
2022-02-08,ABBV,Healthcare,0.6087499999999999,2
2022-02-08,ABT,Healthcare,0.35229999999999995,2
2022-02-08,ADBE,Tech,0.2263,1
2022-02-08,AEP,Utilities,0.34,1
2022-02-08,AMD,Tech,0.40544166666666664,12
2022-02-08,AMGN,Healthcare,0.2009642857142857,14
2022-02-08,AMT,RealEstate,0.0,1
2022-02-08,BA,Industrials,0.060222222222222226,9
2022-02-08,CMCSA,Comm,-0.099875,4
2022-02-08,COP,Energy,0.48845,10
2022-02-08,CVX,Energy,0.203,5
2022-02-08,D,Utilities,0.2086,4
2022-02-08,DD,Materials,0.3385727272727273,11
2022-02-08,DIS,Consumer,0.0901090909090909,11
2022-02-08,DOW,Materials,0.5574,1
2022-02-08,EA,Comm,0.3818,1
2022-02-08,GE,Industrials,0.06589999999999999,4
2022-02-08,GS,Financials,0.1027,1
2022-02-08,INTC,Tech,0.2644285714285714,7
2022-02-08,KO,Consumer,0.4455,3
2022-02-08,MMM,Industrials,0.3356666666666667,3
2022-02-08,MRK,Healthcare,0.074,4
2022-02-08,MS,Financials,0.15028,5
